,parameter,count,doi
0,simple linear regression,1,'10.1016/j.enpol.2019.110935'
1,ordinary least squares (ols) multiple regression model,1,'10.1016/j.enpol.2019.110935'
2,normalization of overall pollution scores to determine locally specific exposure tiers,1,'10.1016/j.enpol.2019.110935'
3,exploratory correlational analyses,1,'10.1016/j.ref.2022.02.002'
4,scenarios equality and equity price modifications ,1,'https://doi.org/10.1016/j.apenergy.2020.114749'
5,regressional analyis,1,'10.1016/j.scs.2021.103647'
6,gini index,1,'10.1016/j.apenergy.2019.113724'
7,lorenz curve,1,'10.1016/j.apenergy.2019.113724'
8,trade-off curve,1,'10.1016/j.apenergy.2019.113724'
9,spatial-statistical analysis,1,'10.1186/s13705-017-0111-6'
10,least squares regression model,1,'10.1186/s13705-017-0111-6'
11,ols regresseion model,1,'10.1186/s13705-017-0111-6'
12,geographically weighted regression (gwr) model,1,'10.1186/s13705-017-0111-6'
13,assessment of distributive justice,1,'10.1016/j.ecolecon.2022.107456'
14,descriptive statistical analysis,1,'10.1016/j.ecolecon.2022.107456'
15,spatial error regression model,1,'10.3390/ijerph18020620'
16,ols model,1,'10.3390/ijerph18020620'
17,social life cycle assessment (slca),1,'10.1007/s10098-022-02278-1'
18,uncertainty analysis,1,'10.1016/j.enpol.2021.112205'
19,"""odd + d (overview",1,'10.1016/j.enpol.2021.112265'
20,"design concepts and details + decision) model""",1,'10.1016/j.enpol.2021.112265'
21,normalisation method,1,'10.1080/13549839.2021.1916899'
22,ordinary least squares (ols) regression,1,'10.1080/13549839.2021.1916899'
23,descriptive statistics and bivariate correlations,1,'10.1080/13549839.2021.1916899'
24,geographic maps,1,'10.1080/13549839.2021.1916899'
25,regression analyses,1,'10.1080/13549839.2021.1916899'
26,spatial autororrelation,1,'10.1080/13549839.2021.1916899'
