,parameter,count,doi
0,installed pv capacity per capita,1,'10.1016/j.enpol.2019.110935'
1,calenviroscreen (ces) score,1,'10.1016/j.enpol.2019.110935'
2,environmental justice (ej) score,1,'10.1016/j.enpol.2019.110935'
3,disadvantaged communities with 5% of highest pollution/exposure or 25% highest ces score (sensitivity plus exposure),1,'10.1016/j.enpol.2019.110935'
4,precentage of census tracts with certain ces score (sensitivity plus exposure),1,'10.1016/j.enpol.2019.110935'
5,annual rate of solar adoption,1,'10.1016/j.enpol.2019.110935'
6,gap of rate of solar adotion between high- and low-adopters,1,'10.1016/j.enpol.2019.110935'
7,regression coefficients,1,'10.1016/j.enpol.2019.110935'
8,correlation indicators between ejindicators and res potential,1,'10.1016/j.ref.2022.02.002'
9,population quintiles affected,1,'10.1016/j.ref.2022.02.002'
10,energy burden,1,'10.1016/j.scs.2021.103647'
11,electricity generation per capita,1,'10.1016/j.apenergy.2019.113724'
12,electricity generation per demand,1,'10.1016/j.apenergy.2019.113724'
13,investment share,1,'10.1016/j.apenergy.2019.113724'
14,regional spillover,1,'10.1016/j.apenergy.2019.113724'
15,regional equity,1,'10.1016/j.apenergy.2019.113724'
16,spatial distribution of electricity generation per demand,1,'10.1016/j.apenergy.2019.113724'
17,gini index,1,'10.1016/j.apenergy.2019.113724'
18,electricity recovery data,1,'10.1016/j.envsci.2021.04.004'
19,risk of environmental injustice based on demographic and environmental indicators,1,'10.1016/j.envsci.2021.04.004'
20,regression coefficients (biogas adoption vs. marginalized,1,'10.1186/s13705-017-0111-6'
21,female population and no electrical facility),1,'10.1186/s13705-017-0111-6'
22,regression coefficient between energy burden and premature mortality,1,'10.3390/ijerph18020620'
23,regression coefficient between energy burden and self-reported health,1,'10.3390/ijerph18020620'
24,regression coefficient between energy burden and life expectancy,1,'10.3390/ijerph18020620'
25,distributional employment impacts,1,'10.1016/j.enpol.2021.112158'
26,land acquisation and compensation,1,'10.1016/j.enpol.2021.112158'
27,spatial distribution of job loss and gains ,1,'10.1016/j.enpol.2021.112158'
28,thermal comfort,1,'10.1016/j.enpol.2021.112265'
29,affordability,1,'10.1016/j.enpol.2021.112265'
30,environmental sustainability,1,'10.1016/j.enpol.2021.112265'
31,autonomy,1,'10.1016/j.enpol.2021.112265'
32,inclusiveness,1,'10.1016/j.enpol.2021.112265'
33,neighbourhood asset score (nas),1,'10.1080/13549839.2021.1916899'
34,neighbourhood deficit score,1,'10.1080/13549839.2021.1916899'
