,parameter,count,doi
0,local-participation,1,'10.1109/GHTC46095.2019.9033126'
1,job factor,1,'10.1109/GHTC46095.2019.9033126'
2,economic inflow factors,1,'10.1109/GHTC46095.2019.9033126'
3,control over one’s environment (a measure of the size of the production group to which the agent belongs; the smaller the group,1,'10.1016/j.erss.2020.101451'
4,the higher the level of control),1,'10.1016/j.erss.2020.101451'
5,labour rights,1,'10.1007/s10098-022-02278-1'
6,human rights,1,'10.1007/s10098-022-02278-1'
7,governance,1,'10.1007/s10098-022-02278-1'
8,medium-risk hour (mrh) in terms of labour-hours for a given production rate,1,'10.1007/s10098-022-02278-1'
9,social impact theme score,1,'10.1007/s10098-022-02278-1'
10,social impact savings,1,'10.1007/s10098-022-02278-1'
11,regression coefficients,1,'10.1186/s13705-017-0111-6'
